number,CRN,Course,Title,Instructor(s),Times,Credits
1116,14738,COMP 390 017,COMPUTER SCIENCE PROJECTS,"Hang, Kaiyu", ,1 TO 3
1117,14925,COMP 390 018,COMPUTER SCIENCE PROJECTS,"Ferreira Flores, Rodrigo", ,1 TO 3
1118,10924,COMP 409 001,ADV LOGIC IN COMPUTER SCIENCE,"Vardi, Moshe Y.",9:25AM - 10:40AM TR ,3
1119,10052,COMP 412 001,COMPILER CONSTRUCTION - UG,"Cooper, Keith D.Burke, Mike",11:00AM - 11:50AM MWF ,4
1120,10415,COMP 413 001,DISTRIB PROGRAM CONSTRUCTION,"Wallach, Dan S.",3:00PM - 3:50PM MWF ,4
1121,15798,COMP 416 002,GENOME-SCALE ALGORITHMS,"Treangen, Todd J.",2:30PM - 3:45PM TR ,3
1122,11951,COMP 417 001,ADVANCED OPERATING SYSTEMS,"Dautenhahn, Nathan D.",10:50AM - 12:05PM TR ,3
1123,12890,COMP 424 001,MOBILE & EMBEDDED SYSTEM,"Young, Joseph D.",4:00PM - 5:15PM MW ,4
1124,11708,COMP 425 001,COMPUTER SYSTEMS ARCHITECTURE,"Simar, Ray",10:50AM - 12:05PM TR ,4
1125,15551,COMP 429 001,INTRO TO COMPUTER NETWORKS,"Ng, T. S. Eugene",9:25AM - 10:40AM TR ,4
1126,11340,COMP 430 001,INTRO TO DATABASE SYSTEMS,"Myers, Risa B.",4:00PM - 5:15PM TR ,3
1127,15825,COMP 431 001,WEB DEVELOPMENT,"Joyner, Mack",9:25AM - 10:40AM TR ,3
1128,15550,COMP 440 001,ARTIFICIAL INTELLIGENCE,"Subramanian, Devika",9:25AM - 10:40AM TR ,4
1129,14634,COMP 442 001,REINFORCEMENT LEARNING,"Unhelkar, Vaibhav",4:00PM - 5:15PM TR ,3
1130,14870,COMP 449 002,DATA SCIENCE PROJECTS,"Barman, ArkoLan, Xinjie",4:00PM - 5:30PM MW ,4
1131,10053,COMP 450 001,ALGORITHMIC ROBOTICS,"Kavraki, Lydia E.Elimelech, Khen",1:00PM - 2:15PM TR ,4
1132,15654,COMP 462 001,ROBOTIC MANIPULATION,"Hang, Kaiyu",4:00PM - 5:15PM MW ,3
1133,14254,COMP 480 001,PROBABILISTIC ALGORITHMS AND D,"Shrivastava, Anshumali",2:30PM - 3:45PM TR ,4
1134,14253,COMP 481 001,AUTOMATA/FORMAL LANG/COMPUTING,"Goldman, Ron",9:25AM - 10:40AM TR ,3
1135,10054,COMP 490 001,COMPUTER SCIENCE PROJECTS,"Wallach, Dan S.", ,1 TO 4
1136,11285,COMP 490 002,COMPUTER SCIENCE PROJECTS,"Shrivastava, Anshumali", ,1 TO 4
1137,11504,COMP 490 003,COMPUTER SCIENCE PROJECTS,"Patel, Ankit B.", ,1 TO 4
1138,11854,COMP 490 004,COMPUTER SCIENCE PROJECTS,"Allen, Genevera I.", ,1 TO 4
1139,12131,COMP 490 005,COMPUTER SCIENCE PROJECTS,"Dautenhahn, Nathan D.", ,1 TO 4
1140,12133,COMP 490 006,COMPUTER SCIENCE PROJECTS,"Chen, Ang", ,1 TO 4
1141,12641,COMP 490 007,COMPUTER SCIENCE PROJECTS,"Tunnell, Chris", ,1 TO 4
