number,CRN,Course,Title,Instructor(s),Times,Credits
3340,12100,PJHC 300 001,DIGITAL STORIES III,"Graham, Lindsay D.", ,1
3341,15673,PJHC 371 001,"POVERTY, JUSTICE, CAPABILITIES","Strassmann, Diana L.",9:25AM - 10:40AM TR ,3
3342,11682,PLST 305 001,INTRODUCTION TO LAW,"Ramirez, Rudy",6:30PM - 9:20PM M ,3
3343,15645,PLST 307 001,FOUNDATIONS OF AMERICAN LAW,"Keyes, Evelyn V.",4:00PM - 5:15PM MW ,3
3344,15371,PLST 315 001,AUTHORITARIAN CONSTITUTIONS,"Caldwell, Carl",10:50AM - 12:05PM TR ,3
3345,11686,PLST 401 001,LEGAL PRACTICUM,"LaBove, Shannon D.",6:30PM - 8:40PM W ,3
3346,12247,POLI 102 001,POLI SCI STATISTICS LAB,,7:00PM - 7:50PM R ,0
3347,12248,POLI 102 002,POLI SCI STATISTICS LAB,,2:00PM - 2:50PM F ,0
3348,10013,POLI 210 001,INTRO TO AMERICAN POLITICS,"Kaslovsky, Jaclyn C.",10:00AM - 10:50AM MW 7:00PM - 7:50PM R ,3
3349,14159,POLI 210 002,INTRO TO AMERICAN POLITICS,"Kaslovsky, Jaclyn C.",10:00AM - 10:50AM MW 10:00AM - 10:50AM F ,3
3350,14160,POLI 210 003,INTRO TO AMERICAN POLITICS,"Kaslovsky, Jaclyn C.",10:00AM - 10:50AM MW 10:00AM - 10:50AM F ,3
3351,14161,POLI 210 004,INTRO TO AMERICAN POLITICS,"Kaslovsky, Jaclyn C.",10:00AM - 10:50AM MW 2:00PM - 2:50PM F ,3
3352,10024,POLI 211 001,INTRO TO INTERNAT'L RELATIONS,"Stoll, Richard J.",1:00PM - 1:50PM MW 7:00PM - 7:50PM R ,3
3353,14162,POLI 211 002,INTRO TO INTERNAT'L RELATIONS,"Stoll, Richard J.",9:00AM - 9:50AM F 1:00PM - 1:50PM MW ,3
3354,14163,POLI 211 003,INTRO TO INTERNAT'L RELATIONS,"Stoll, Richard J.",1:00PM - 1:50PM MW 1:00PM - 1:50PM F ,3
3355,14164,POLI 211 004,INTRO TO INTERNAT'L RELATIONS,"Stoll, Richard J.",1:00PM - 1:50PM MW 1:00PM - 1:50PM F ,3
3356,10014,POLI 212 001,INTRO TO COMPARATIVE POLITICS,"Jones, Mark P.",9:00AM - 9:50AM F 11:00AM - 11:50AM MW ,3
3357,14165,POLI 212 002,INTRO TO COMPARATIVE POLITICS,"Jones, Mark P.",11:00AM - 11:50AM MW 11:00AM - 11:50AM F ,3
3358,14166,POLI 212 003,INTRO TO COMPARATIVE POLITICS,"Jones, Mark P.",11:00AM - 11:50AM MW 11:00AM - 11:50AM F ,3
3359,14719,POLI 260 003,ADVOCATING FOR CHANGE,"Vann, Elizabeth F.",9:25AM - 10:40AM TR ,3
3360,14062,POLI 305 002,DIRECTED READING I,"Stoll, Richard J.", ,3
3361,10287,POLI 307 001,POLITICAL SCIENCE INTERNSHIP,"Stoll, Richard J.", ,1
3362,14762,POLI 321 001,"AMER CONST. LAW:STRUCTRS, PWRS","Cozza, Joseph",10:50AM - 12:05PM TR  ,3
3363,15590,POLI 326 001,RELIGION AND DEMOCRACY,"Leebron, David W.",3:00PM - 5:30PM W ,3
3364,15359,POLI 338 001,POLICY ANALYSIS,"Pugh, Alex K.",2:30PM - 3:45PM TR ,3
3365,15589,POLI 341 001,RACE AND THE LAW IN THE U.S.,"Leebron, David W.",4:00PM - 5:15PM TR ,3
3366,15360,POLI 354 001,LATIN AMERICAN POLITICS,"Guajardo, Gustavo A.",2:30PM - 3:45PM TR ,3
3367,14807,POLI 359 001,WORLD CONSTITUTIONS,"Cozza, Joseph",1:00PM - 2:15PM TR ,3
3368,15361,POLI 371 001,CIVIL WARS,"Zubiria Fuentes, Gladys",9:25AM - 10:40AM TR ,3
3369,13023,POLI 372 001,AMERICAN FOREIGN POLICY,"Morgan, Cliff",10:00AM - 10:50AM MWF ,3
3370,11884,POLI 395 002,APPLIED RESEARCH METHODS,,1:00PM - 2:15PM TR 7:00PM - 7:50PM R ,4
3371,10015,POLI 405 001,THESIS I,"Stoll, Richard J.", ,3
3372,15672,POLI 429 001,BIOLOGICAL FOUNDATIONS OF POLI,"Alford, John R.",1:00PM - 3:29PM M ,3
3373,15670,POLI 457 001,CONDITIONS OF DEMOCRACY,"Jones, Mark P.",2:30PM - 5:00PM T ,3
3374,15362,POLI 472 001,AMERICAN FOREIGN POLICY,"Morgan, Cliff",2:00PM - 4:30PM W ,3
3375,12249,POLI 473 001,THE CRAFT OF INTELLIGENCE,"Stoll, Richard J.",2:30PM - 5:00PM R ,3
3376,14698,POLI 500 002,SOCIAL SCIENTIFIC THINKING I,"Dezzani Huff, Connor M.",2:30PM - 5:20PM R  ,3
3377,13029,POLI 502 001,INTRODUCTION TO STATISTICS,,9:00AM - 11:50AM T  ,3
3378,14068,POLI 504 001,INTRO MAX LIKELIHOOD EST,"Stevenson, Randolph T.",2:30PM - 5:20PM T  ,3
3379,15364,POLI 533 001,POLITICAL BEHAVIOR,"Peterson, Erik",2:00PM - 4:50PM W ,3
3380,15676,POLI 536 001,WOMEN AND REPRESENTATION,"Schwindt-Bayer, Leslie A.",9:00AM - 11:50AM R ,3
3381,15365,POLI 540 001,INTRNTL RELATIONS CORE SEMINAR,"Leeds, Ashley",2:00PM - 4:50PM M  ,3
3382,15367,POLI 575 001,GAME THEORY,"Fang, Songying",2:30PM - 5:20PM R  ,3
3383,10288,POLI 591 001,DIRECTED READING-METHODOLOGY,"Stevenson, Randolph T.",  ,3
3384,10289,POLI 591 002,DIRECTED READING-METHODOLOGY,,  ,3
3385,15368,POLI 591 003,DIRECTED READING-METHODOLOGY,,GR ,3
3386,10290,POLI 593 002,DIRECTED READING-AMER POLITICS,"Alford, John R.",  ,3
3387,10291,POLI 593 005,DIRECTED READING-AMER POLITICS,"Marschall, Melissa J.",  ,3
3388,15369,POLI 593 006,DIRECTED READING-AMER POLITICS,,GR ,3
3389,11885,POLI 593 010,DIRECTED READING-AMER POLITICS,"Kaslovsky, Jaclyn C.",  ,3
3390,11886,POLI 593 011,DIRECTED READING-AMER POLITICS,,  ,3
3391,14073,POLI 593 012,DIRECTED READING-AMER POLITICS,"Stein, Robert M.", ,3
3392,14074,POLI 593 013,DIRECTED READING-AMER POLITICS,"Peterson, Erik", ,3
3393,10021,POLI 595 001,DIR READ-INTERNT'L RELATIONS,"Stoll, Richard J.",  ,3
3394,10292,POLI 595 002,DIR READ-INTERNT'L RELATIONS,"Leeds, Ashley",  ,3
3395,10293,POLI 595 003,DIR READ-INTERNT'L RELATIONS,"Morgan, Cliff",  ,3
3396,10294,POLI 595 004,DIR READ-INTERNT'L RELATIONS,"Fang, Songying",  ,3
3397,10630,POLI 595 005,DIR READ-INTERNT'L RELATIONS,"Dezzani Huff, Connor M.",  ,3
3398,15370,POLI 595 006,DIR READ-INTERNT'L RELATIONS,,GR ,3
3399,14075,POLI 597 001,DIR READ-COMPARATIVE POLITICS,"Stevenson, Randolph T.", ,3
3400,10295,POLI 597 002,DIR READ-COMPARATIVE POLITICS,,  ,3
3401,10296,POLI 597 003,DIR READ-COMPARATIVE POLITICS,"Jones, Mark P.",  ,3
3402,14076,POLI 597 004,DIR READ-COMPARATIVE POLITICS,"Schwindt-Bayer, Leslie A.", ,3
3403,12077,POLI 597 005,DIR READ-COMPARATIVE POLITICS,,  ,3
3404,10022,POLI 599 001,TEACHING POLITICAL SCIENCE,"Stoll, Richard J.",  ,1
3405,10023,POLI 600 001,MA RESEARCH AND THESIS,"Stevenson, Randolph T.", ,1 TO 15
3406,10941,POLI 800 002,PH.D. RESEARCH AND THESIS,"Jones, Mark P.", ,1 TO 15
3407,10942,POLI 800 003,PH.D. RESEARCH AND THESIS,"Leeds, Ashley", ,1 TO 15
3408,10943,POLI 800 004,PH.D. RESEARCH AND THESIS,"Schwindt-Bayer, Leslie A.", ,1 TO 15
3409,10944,POLI 800 005,PH.D. RESEARCH AND THESIS,"Morgan, Cliff", ,1 TO 15
3410,10945,POLI 800 006,PH.D. RESEARCH AND THESIS,"Stein, Robert M.", ,1 TO 15
3411,10946,POLI 800 007,PH.D. RESEARCH AND THESIS,"Stevenson, Randolph T.", ,1 TO 15
3412,10947,POLI 800 008,PH.D. RESEARCH AND THESIS,"Stoll, Richard J.", ,1 TO 15
3413,12138,POLI 800 009,PH.D. RESEARCH AND THESIS,"Fang, Songying", ,1 TO 15
3414,12694,POLI 800 010,PH.D. RESEARCH AND THESIS,, ,1 TO 15
3415,13033,POLI 800 011,PH.D. RESEARCH AND THESIS,"Alford, John R.", ,1 TO 15
3416,14655,POLI 800 014,PH.D. RESEARCH AND THESIS,"Marschall, Melissa J.", ,1 TO 15
3417,10675,PORT 106 001,ACCEL FIRST YEAR PORTUGUESE,,11:00AM - 11:50AM MWF ,3
3418,11873,PORT 301 001,THIRD YEAR PORTUGUESE I,"Scutti Santos, Helade",10:00AM - 10:50AM MWF ,3
3419,10092,PSYC 101 001,INTRODUCTION TO PSYCHOLOGY,"Adams, Louretha",9:25AM - 10:40AM TR ,3
3420,10093,PSYC 101 002,INTRODUCTION TO PSYCHOLOGY,"Nicolaou, Colette",10:50AM - 12:05PM TR ,3
3421,13804,PSYC 101 003,INTRODUCTION TO PSYCHOLOGY,"Nicolaou, Colette",1:00PM - 2:15PM TR ,3
3422,12556,PSYC 102 001,PSYCHOLOGY STATISTICS LAB,,7:00PM - 7:50PM T ,0
3423,11606,PSYC 202 001,INTRO TO SOCIAL PSYCHOLOGY,"Parsons, Sandra V.",10:00AM - 10:50AM MWF ,3
3424,11115,PSYC 202 002,INTRO TO SOCIAL PSYCHOLOGY,"Hebl, Mikki",9:25AM - 10:40AM TR ,3
3425,10340,PSYC 203 001,INTRO TO COGNITIVE PSYCHOLOGY,"Moore, Bart",10:00AM - 10:50AM MWF ,3
3426,10543,PSYC 203 002,INTRO TO COGNITIVE PSYCHOLOGY,"Westmoreland, Kirsten",1:00PM - 1:50PM MWF ,3
3427,12695,PSYC 203 003,INTRO TO COGNITIVE PSYCHOLOGY,"Adams, Louretha",10:50AM - 12:05PM TR ,3
3428,15211,PSYC 231 003,INDUS & ORGANIZATIONAL PSYC,"Phetmisy, Cassandra",10:50AM - 12:05PM TR ,3
3429,15563,PSYC 308 001,MEMORY,"Leal, Stephanie",10:50AM - 12:05PM TR ,3
3430,11371,PSYC 321 001,DEVELOPMENTAL PSYCHOLOGY,"Nicolaou, Colette",9:25AM - 10:40AM TR ,3
3431,15212,PSYC 330 002,PERSONALITY THEORY & RESEARCH,"Westmoreland, Kirsten",8:00AM - 8:50AM MWF ,3
3432,15564,PSYC 332 001,PSYCHOPATHOLOGY,"Garcini, Luz M.",10:50AM - 12:05PM TR ,3
3433,11373,PSYC 333 001,MULTICULTURAL PSYCHOLOGY,"Lesane-Brown, Chase L.",1:00PM - 2:15PM TR ,3
3434,10094,PSYC 340 001,RESEARCH METHODS - PSYCHOLOGY,"Adams, Louretha",12:30PM - 2:15PM TR ,4
3435,11442,PSYC 340 002,RESEARCH METHODS - PSYCHOLOGY,"Parsons, Sandra V.",11:00AM - 12:10PM MWF ,4
3436,11607,PSYC 351 001,PERCEPTION,"DeLucia, Pat",1:00PM - 2:15PM TR ,3
3437,15598,PSYC 353 001,PSYC OF EMOTION & MOTIVATION,"Westmoreland, Kirsten",1:00PM - 2:15PM TR ,3
3438,10255,PSYC 370 001,INTRO TO HUMAN FACTORS & ERGO,"Kortum, Philip T.",10:00AM - 10:50AM MWF ,3
3439,15214,PSYC 375 001,NEUROPSYC OF LANGUAGE/MEMORY,"Martin, Randi C.",4:00PM - 5:15PM MW ,3
3440,15215,PSYC 409 001,METHODS HUMAN-COMP INTERACTION,"Kortum, Philip T.",2:00PM - 2:50PM MWF ,3
3441,15612,PSYC 430 001,COMP MODELING OF COG PROCESSES,"Moore, Bart",1:00PM - 1:50PM MWF ,3
3442,15599,PSYC 461 001,DECISION MAKING/PROB SOLVING,"Byrne, Michael D.",10:50AM - 12:05PM TR ,3
3443,15580,PSYC 467 001,HUMAN FACTORS IN CYBERSECURITY,"Chen, Jing",2:30PM - 3:45PM TR ,3
3444,12210,PSYC 480 001,POSITIVE PSYCHOLOGY,"Parsons, Sandra V.",2:00PM - 2:50PM MWF ,3
3445,10264,PSYC 485 001,UG SUPERVISED RESEARCH,"Beier, Margaret E.",7:00AM - 7:50AM T ,1 TO 6
3446,10265,PSYC 485 002,UG SUPERVISED RESEARCH,"Byrne, Michael D.",7:00AM - 7:50AM T ,1 TO 6
3447,11609,PSYC 485 003,UG SUPERVISED RESEARCH,"DeLucia, Pat",7:00AM - 7:50AM T ,1 TO 6
3448,10620,PSYC 485 004,UG SUPERVISED RESEARCH,"Denny, Bryan T.",7:00AM - 7:50AM T ,1 TO 6
3449,10411,PSYC 485 005,UG SUPERVISED RESEARCH,"Fagundes, Christopher P.",7:00AM - 7:50AM T ,1 TO 6
3450,10412,PSYC 485 006,UG SUPERVISED RESEARCH,"Fischer-Baum, Simon J.",7:00AM - 7:50AM T ,1 TO 6
3451,10095,PSYC 485 007,UG SUPERVISED RESEARCH,"Gurcanli, Ozge",7:00AM - 7:50AM T ,1 TO 6
3452,10096,PSYC 485 008,UG SUPERVISED RESEARCH,"Hebl, Mikki",7:00AM - 7:50AM T ,1 TO 6
3453,10266,PSYC 485 009,UG SUPERVISED RESEARCH,"King, Danielle D.",7:00AM - 7:50AM T ,1 TO 6
3454,12743,PSYC 485 010,UG SUPERVISED RESEARCH,"Denny, Bryan T.",7:00AM - 7:50AM T ,1 TO 6
3455,10097,PSYC 485 011,UG SUPERVISED RESEARCH,"King, Eden B.",7:00AM - 7:50AM T ,1 TO 6
3456,12211,PSYC 485 012,UG SUPERVISED RESEARCH,"Kortum, Philip T.",7:00AM - 7:50AM T ,1 TO 6
3457,10098,PSYC 485 013,UG SUPERVISED RESEARCH,"Leal, Stephanie",7:00AM - 7:50AM T ,1 TO 6
3458,11330,PSYC 485 014,UG SUPERVISED RESEARCH,"Lesane-Brown, Chase L.",7:00AM - 7:50AM T ,1 TO 6
3459,10267,PSYC 485 015,UG SUPERVISED RESEARCH,"Martin, Randi C.",7:00AM - 7:50AM T ,1 TO 6
3460,10268,PSYC 485 016,UG SUPERVISED RESEARCH,"Nicolaou, Colette",7:00AM - 7:50AM T ,1 TO 6
3461,10243,PSYC 485 017,UG SUPERVISED RESEARCH,"Oswald, Frederick L.",7:00AM - 7:50AM T ,1 TO 6
3462,10372,PSYC 485 018,UG SUPERVISED RESEARCH,"Parsons, Sandra V.",7:00AM - 7:50AM T ,1 TO 6
3463,14128,PSYC 485 019,UG SUPERVISED RESEARCH,"Salas, Eduardo",7:00AM - 7:50AM T ,1 TO 6
3464,11329,PSYC 485 021,UG SUPERVISED RESEARCH,"Adams, Louretha",7:00AM - 7:50AM T ,1 TO 6
3465,11608,PSYC 485 022,UG SUPERVISED RESEARCH,"Chen, Jing",7:00AM - 7:50AM T ,1 TO 6
3466,14917,PSYC 485 023,UG SUPERVISED RESEARCH,"Garcini, Luz M.",7:00AM - 7:50AM T ,1 TO 6
3467,15217,PSYC 485 024,UG SUPERVISED RESEARCH,,7:00AM - 7:50AM T ,1 TO 6
3468,10269,PSYC 488 001,SUPERVISED READING,"Beier, Margaret E.",7:00AM - 7:50AM R ,1 TO 6
3469,10270,PSYC 488 002,SUPERVISED READING,"Byrne, Michael D.",7:00AM - 7:50AM R ,1 TO 6
3470,11611,PSYC 488 003,SUPERVISED READING,"DeLucia, Pat",7:00AM - 7:50AM R ,1 TO 6
3471,10413,PSYC 488 004,SUPERVISED READING,"Denny, Bryan T.",7:00AM - 7:50AM R ,1 TO 6
3472,10271,PSYC 488 005,SUPERVISED READING,"Fagundes, Christopher P.",7:00AM - 7:50AM R ,1 TO 6
3473,10272,PSYC 488 006,SUPERVISED READING,"Fischer-Baum, Simon J.",7:00AM - 7:50AM R ,1 TO 6
3474,10273,PSYC 488 007,SUPERVISED READING,"Gurcanli, Ozge",7:00AM - 7:50AM R ,1 TO 6
3475,10274,PSYC 488 008,SUPERVISED READING,"Hebl, Mikki",7:00AM - 7:50AM R ,1 TO 6
3476,10275,PSYC 488 009,SUPERVISED READING,"King, Danielle D.",7:00AM - 7:50AM R ,1 TO 6
3477,10276,PSYC 488 011,SUPERVISED READING,"King, Eden B.",7:00AM - 7:50AM R ,1 TO 6
3478,11610,PSYC 488 012,SUPERVISED READING,"Kortum, Philip T.",7:00AM - 7:50AM R ,1 TO 6
3479,10278,PSYC 488 013,SUPERVISED READING,"Leal, Stephanie",7:00AM - 7:50AM R ,1 TO 6
3480,11333,PSYC 488 014,SUPERVISED READING,"Lesane-Brown, Chase L.",7:00AM - 7:50AM R ,1 TO 6
3481,10621,PSYC 488 015,SUPERVISED READING,"Martin, Randi C.",7:00AM - 7:50AM R ,1 TO 6
3482,10622,PSYC 488 016,SUPERVISED READING,"Nicolaou, Colette",7:00AM - 7:50AM R ,1 TO 6
3483,10623,PSYC 488 017,SUPERVISED READING,"Oswald, Frederick L.",7:00AM - 7:50AM R ,1 TO 6
3484,10624,PSYC 488 018,SUPERVISED READING,"Parsons, Sandra V.",7:00AM - 7:50AM R ,1 TO 6
3485,11331,PSYC 488 019,SUPERVISED READING,"Salas, Eduardo",7:00AM - 7:50AM R ,1 TO 6
3486,13040,PSYC 488 022,SUPERVISED READING,"Chen, Jing",7:00AM - 7:50AM R ,1 TO 6
3487,14129,PSYC 488 023,SUPERVISED READING,"Adams, Louretha",7:00AM - 7:50AM R ,1 TO 6
3488,14918,PSYC 488 024,SUPERVISED READING,"Garcini, Luz M.",7:00AM - 7:50AM R ,1 TO 6
3489,15591,PSYC 488 025,SUPERVISED READING,,7:00AM - 7:50AM R ,1 TO 6
3490,10099,PSYC 499 001,HONORS THESIS,"King, Eden B.", ,1 TO 6
3491,10100,PSYC 502 001,ADVANCED PSYC STATISTICS I,"Chen, Jing",1:00PM - 2:15PM TR  ,4
3492,15218,PSYC 527 001,DECISION MAKING/PROB SOLVING,"Byrne, Michael D.",10:50AM - 12:05PM TR  ,3
3493,10101,PSYC 529 001,COGNITIVE RESEARCH SEMINAR,,2:00PM - 3:30PM M  ,1 TO 3
3494,13678,PSYC 530 001,FOUNDATIONS OF I-O PSYCHOLOGY,"Beier, Margaret E.",9:30AM - 12:00PM R  ,3
3495,10221,PSYC 531 001,HF/HCI RESEARCH SEMINAR,"Kortum, Philip T.",12:10PM - 12:55PM T  ,1 TO 3
3496,12066,PSYC 532 001,HEALTH RESEARCH SEMINAR,"Denny, Bryan T.",2:00PM - 3:30PM M  ,1 TO 3
3497,15789,PSYC 533 001,I-O PSYCHOLOGY RESEARCH SEM,,12:00PM - 12:50PM M ,1 TO 3
3498,15600,PSYC 543 001,COMP MODELING OF COG PROCESSES,"Moore, Bart",1:00PM - 1:50PM MWF  ,3
3499,13042,PSYC 550 001,FOUNDATIONS OF SOCIAL PSYC,"King, Eden B.",9:15AM - 11:45AM M  ,3
3500,10102,PSYC 561 001,TEACHING IN PSYCHOLOGY,"Beier, Margaret E.", ,3
3501,10948,PSYC 561 002,TEACHING IN PSYCHOLOGY,"Byrne, Michael D.", ,3
3502,12212,PSYC 561 003,TEACHING IN PSYCHOLOGY,"DeLucia, Pat", ,3
3503,10953,PSYC 561 004,TEACHING IN PSYCHOLOGY,"Denny, Bryan T.", ,3
3504,10949,PSYC 561 005,TEACHING IN PSYCHOLOGY,"Fagundes, Christopher P.", ,3
3505,10950,PSYC 561 006,TEACHING IN PSYCHOLOGY,"Fischer-Baum, Simon J.", ,3
3506,11117,PSYC 561 007,TEACHING IN PSYCHOLOGY,"Gurcanli, Ozge", ,3
3507,10951,PSYC 561 008,TEACHING IN PSYCHOLOGY,"Hebl, Mikki", ,3
3508,10952,PSYC 561 009,TEACHING IN PSYCHOLOGY,"King, Danielle D.", ,3
3509,11613,PSYC 561 010,TEACHING IN PSYCHOLOGY,"King, Eden B.", ,3
3510,10954,PSYC 561 011,TEACHING IN PSYCHOLOGY,"Kortum, Philip T.", ,3
3511,11612,PSYC 561 012,TEACHING IN PSYCHOLOGY,"Leal, Stephanie", ,3
3512,10955,PSYC 561 013,TEACHING IN PSYCHOLOGY,"Lesane-Brown, Chase L.", ,3
3513,10956,PSYC 561 014,TEACHING IN PSYCHOLOGY,"Martin, Randi C.", ,3
3514,10957,PSYC 561 015,TEACHING IN PSYCHOLOGY,"Nicolaou, Colette", ,3
3515,11120,PSYC 561 016,TEACHING IN PSYCHOLOGY,"Oswald, Frederick L.", ,3
3516,10958,PSYC 561 017,TEACHING IN PSYCHOLOGY,"Parsons, Sandra V.", ,3
3517,11119,PSYC 561 018,TEACHING IN PSYCHOLOGY,"Salas, Eduardo", ,3
3518,11116,PSYC 561 020,TEACHING IN PSYCHOLOGY,"Adams, Louretha", ,3
3519,11118,PSYC 561 021,TEACHING IN PSYCHOLOGY,"Moore, Bart", ,3
3520,13679,PSYC 561 022,TEACHING IN PSYCHOLOGY,"Chen, Jing", ,3
3521,14919,PSYC 561 023,TEACHING IN PSYCHOLOGY,"Garcini, Luz M.", ,3
3522,15020,PSYC 561 024,TEACHING IN PSYCHOLOGY,"Davenport, Meghan K.", ,3
3523,15021,PSYC 561 025,TEACHING IN PSYCHOLOGY,"Dicker, Eva", ,3
3524,15030,PSYC 561 026,TEACHING IN PSYCHOLOGY,"Westmoreland, Kirsten", ,3
3525,15036,PSYC 561 027,TEACHING IN PSYCHOLOGY,"Archila, Maria Del P.", ,3
3526,15592,PSYC 561 028,TEACHING IN PSYCHOLOGY,,GR ,3
3527,10103,PSYC 571 001,FIRST-YEAR PROJECT,"Beier, Margaret E.",  ,3
3528,10960,PSYC 571 002,FIRST-YEAR PROJECT,"Byrne, Michael D.", ,3
3529,12835,PSYC 571 003,FIRST-YEAR PROJECT,"DeLucia, Pat", ,3
3530,12213,PSYC 571 004,FIRST-YEAR PROJECT,"Denny, Bryan T.", ,3
3531,10961,PSYC 571 005,FIRST-YEAR PROJECT,"Fagundes, Christopher P.", ,3
3532,10962,PSYC 571 006,FIRST-YEAR PROJECT,"Fischer-Baum, Simon J.", ,3
3533,11614,PSYC 571 007,FIRST-YEAR PROJECT,"Hebl, Mikki", ,3
3534,10963,PSYC 571 008,FIRST-YEAR PROJECT,"King, Danielle D.", ,3
3535,10964,PSYC 571 009,FIRST-YEAR PROJECT,"King, Eden B.", ,3
3536,10965,PSYC 571 010,FIRST-YEAR PROJECT,"Kortum, Philip T.", ,3
3537,10966,PSYC 571 011,FIRST-YEAR PROJECT,"Leal, Stephanie", ,3
3538,13043,PSYC 571 012,FIRST-YEAR PROJECT,"Martin, Randi C.", ,3
3539,10967,PSYC 571 013,FIRST-YEAR PROJECT,"Oswald, Frederick L.", ,3
3540,10968,PSYC 571 014,FIRST-YEAR PROJECT,"Salas, Eduardo", ,3
3541,14133,PSYC 571 015,FIRST-YEAR PROJECT,"Chen, Jing",  ,3
3542,14134,PSYC 571 016,FIRST-YEAR PROJECT,"Garcini, Luz M.",  ,3
3543,15593,PSYC 571 017,FIRST-YEAR PROJECT,,,3
3544,10104,PSYC 572 001,SECOND-YEAR PROJECT,"Beier, Margaret E.", ,3
3545,10969,PSYC 572 002,SECOND-YEAR PROJECT,"Byrne, Michael D.", ,3
3546,12214,PSYC 572 003,SECOND-YEAR PROJECT,"DeLucia, Pat", ,3
3547,11616,PSYC 572 004,SECOND-YEAR PROJECT,"Denny, Bryan T.", ,3
3548,10970,PSYC 572 005,SECOND-YEAR PROJECT,"Fagundes, Christopher P.", ,3
3549,10971,PSYC 572 006,SECOND-YEAR PROJECT,"Fischer-Baum, Simon J.", ,3
3550,11615,PSYC 572 007,SECOND-YEAR PROJECT,"Hebl, Mikki", ,3
3551,10972,PSYC 572 008,SECOND-YEAR PROJECT,"King, Danielle D.", ,3
3552,10973,PSYC 572 009,SECOND-YEAR PROJECT,"King, Eden B.", ,3
3553,10974,PSYC 572 010,SECOND-YEAR PROJECT,"Kortum, Philip T.", ,3
3554,10975,PSYC 572 011,SECOND-YEAR PROJECT,"Leal, Stephanie", ,3
3555,10978,PSYC 572 012,SECOND-YEAR PROJECT,"Martin, Randi C.", ,3
3556,10976,PSYC 572 013,SECOND-YEAR PROJECT,"Oswald, Frederick L.", ,3
3557,10977,PSYC 572 014,SECOND-YEAR PROJECT,"Salas, Eduardo", ,3
3558,14135,PSYC 572 015,SECOND-YEAR PROJECT,"Chen, Jing",  ,3
3559,14136,PSYC 572 016,SECOND-YEAR PROJECT,"Garcini, Luz M.",  ,3
3560,15594,PSYC 572 017,SECOND-YEAR PROJECT,,,3
3561,10196,PSYC 573 001,NON-THESIS GRADUATE RESEARCH,"Beier, Margaret E.", ,1 TO 15
3562,10979,PSYC 573 002,NON-THESIS GRADUATE RESEARCH,"Byrne, Michael D.", ,1 TO 15
3563,12215,PSYC 573 003,NON-THESIS GRADUATE RESEARCH,"DeLucia, Pat", ,1 TO 15
3564,10980,PSYC 573 004,NON-THESIS GRADUATE RESEARCH,"Denny, Bryan T.", ,1 TO 15
3565,11618,PSYC 573 005,NON-THESIS GRADUATE RESEARCH,"Fagundes, Christopher P.", ,1 TO 15
3566,10981,PSYC 573 006,NON-THESIS GRADUATE RESEARCH,"Fischer-Baum, Simon J.", ,1 TO 15
3567,11617,PSYC 573 007,NON-THESIS GRADUATE RESEARCH,"Hebl, Mikki", ,1 TO 15
3568,10982,PSYC 573 008,NON-THESIS GRADUATE RESEARCH,"King, Danielle D.", ,1 TO 15
3569,10983,PSYC 573 009,NON-THESIS GRADUATE RESEARCH,"King, Eden B.", ,1 TO 15
3570,10984,PSYC 573 010,NON-THESIS GRADUATE RESEARCH,"Kortum, Philip T.", ,1 TO 15
3571,10985,PSYC 573 011,NON-THESIS GRADUATE RESEARCH,"Leal, Stephanie", ,1 TO 15
3572,10988,PSYC 573 012,NON-THESIS GRADUATE RESEARCH,"Martin, Randi C.", ,1 TO 15
3573,10986,PSYC 573 013,NON-THESIS GRADUATE RESEARCH,"Oswald, Frederick L.", ,1 TO 15
3574,10987,PSYC 573 014,NON-THESIS GRADUATE RESEARCH,"Salas, Eduardo", ,1 TO 15
3575,14137,PSYC 573 015,NON-THESIS GRADUATE RESEARCH,"Chen, Jing",  ,1 TO 15
3576,14138,PSYC 573 016,NON-THESIS GRADUATE RESEARCH,"Garcini, Luz M.",  ,1 TO 15
3577,15595,PSYC 573 017,NON-THESIS GRADUATE RESEARCH,,,1 TO 15
3578,15643,PSYC 575 001,ATTENTION AND PERCEPTION,,2:30PM - 5:00PM T  ,3
3579,15781,PSYC 595 001,HCI&HF PROF MASTERS INTERNSHIP,"Byrne, Michael D.",  ,1
3580,15219,PSYC 609 001,METHODS HUMAN-COMP INTERACTION,"Kortum, Philip T.",2:00PM - 2:50PM MWF  ,3
3581,14710,PSYC 630 001,PERFORMANCE MANAGEMENT,"Alliger, George M.",2:30PM - 5:00PM T  ,3
3582,14711,PSYC 630 002,WORK MOTIVATION,"King, Danielle D.",9:30AM - 12:00PM W  ,3
3583,15642,PSYC 635 001,MULTILEVEL MODELING,"Oswald, Frederick L.",1:00PM - 3:30PM W  ,3
3584,15784,PSYC 639 001,I/O PSYCHOLOGY INTERNSHIP,"Oswald, Frederick L.",  ,1 TO 9
3585,10256,PSYC 649 001,HF/HCI PSYC INTERNSHIP,"Byrne, Michael D.", ,1 TO 9
3586,15220,PSYC 651 001,FIELD STUDIES IN DEI,"Hebl, Mikki",9:00AM - 11:30AM M  ,3
3587,15641,PSYC 667 001,HUMAN FACTORS IN CYBERSECURITY,"Chen, Jing",2:30PM - 3:45PM TR  ,3
